label,text
spam,Business opportunity! Earn passive income with our automated trading system.
ham,The Python tutorial you requested has been uploaded to the shared drive. Check it out.
ham,The Python tutorial you requested has been uploaded to the shared drive. Check it out. Best regards.
ham,The training session on data privacy compliance is mandatory for all staff this month.
ham,"I have reviewed your code and left some comments. Overall, great work on the algorithm!"
ham,The book club meets every second Thursday. This month we are reading The Alchemist.
ham,The project deadline has been moved to Friday. Please update your schedules accordingly. Best regards.
ham,The wireless password for the guest network is GuestAccess2024. Valid until month end. Best regards.
ham,Can you send me the contact details of the vendor we worked with last month? Best regards.
spam,you are the lucky winner! send us your credit card details to receive your prize.
spam,Hot singles in your area want to meet you tonight. Click here to see photos.
ham,Happy birthday! Hope you have a wonderful day filled with joy and happiness.
spam,URGENT: Your bank account has been compromised. Verify your details immediately.
ham,Just checking in to see how the project is progressing. Let me know if you need help.
spam,Your computer is sending error reports. Download this fix tool immediately!
spam,Your account will be closed unless you update your information immediately!
ham,"I will be out of office from December 20 to January 3. For urgent matters, contact Lisa."
ham,The software update is ready for testing. Please check it in the staging environment.
spam,Lose 30 pounds in 30 days with this miracle pill! Doctors hate this secret.
spam,Special discount for you only! 90% off luxury watches. Limited stock available.
ham,The server maintenance will take place this Sunday from 2 AM to 6 AM. Plan accordingly. Best regards.
spam,Online casino bonus! Get $1000 free credits today. No deposit required!
ham,Can you send me the contact details of the vendor we worked with last month?
ham,Happy birthday! Hope you have a wonderful day filled with joy and happiness.
ham,We have updated our privacy policy. Please review the changes at your convenience.
ham,The server maintenance will take place this Sunday from 2 AM to 6 AM. Plan accordingly.
spam,last chance: complete this survey and win a macbook pro. only 3 spots left!
spam,Your computer is sending error reports. Download this fix tool immediately!
spam,"CLAIM YOUR FREE GIFT! You were randomly selected. Hurry, offer ends tonight!"
spam,final notice: your subscription has expired. renew now to avoid account deletion.
spam,"You have been pre-approved for a $50,000 loan. No credit check required!"
ham,"I will be out of office from December 20 to January 3. For urgent matters, contact Lisa. Best regards."
ham,The server maintenance will take place this Sunday from 2 AM to 6 AM. Plan accordingly.
ham,The conference room has been booked for Monday from 2 PM to 4 PM for your presentation. Best regards.
ham,Can you send me the contact details of the vendor we worked with last month?
ham,The IT helpdesk ticket you submitted has been resolved. Let us know if issue persists.
ham,Lunch plans today? A few of us are going to the Italian place around the corner.
ham,Could you help me understand the new deployment process? I am a bit confused about step 3.
spam,your computer is sending error reports. download this fix tool immediately!
ham,The IT helpdesk ticket you submitted has been resolved. Let us know if issue persists. Best regards.
ham,Your pull request has been approved and merged into the main branch successfully.
ham,The monthly newsletter is now available. Check out the highlights from this month.
ham,I wanted to share this interesting article I read about machine learning advancements.
ham,Can we reschedule our call to Thursday? I have a conflict on Wednesday afternoon.
spam,"Make $10,000 per month promoting our products. No skills required. Start today!"
ham,The quarterly budget meeting is on Thursday. Please bring your department reports. Best regards.
spam,your paypal account has been suspended. verify your identity to restore access.
spam,free iphone giveaway! you have been selected. act now before offer expires!
ham,The conference room has been booked for Monday from 2 PM to 4 PM for your presentation.
ham,Following up on our conversation from last week regarding the project proposal.
ham,I have attached my resume for the software developer position you posted last week.
spam,Stop being broke! Join our MLM network and achieve financial freedom today.
ham,"Please welcome our new team member, Sarah, who joins us as a data analyst from Monday."
ham,Attached is the invoice for the services rendered in November. Payment due in 30 days.
ham,Thanks for your email. I will get back to you by end of day with the requested information.
ham,Could you please review the attached document and provide your feedback by Thursday? Best regards.
spam,you owe back taxes. call the irs immediately or face arrest. this is urgent.
spam,warning: your computer has a virus. call 1-800-xxx-xxxx immediately to fix it.
ham,Just checking in to see how the project is progressing. Let me know if you need help.
spam,"Make $10,000 per month promoting our products. No skills required. Start today!"
spam,You owe back taxes. Call the IRS immediately or face arrest. This is urgent.
spam,"Cheap medication online! Buy Xanax, Valium, Oxycodone without prescription."
spam,Your account will be closed unless you update your information immediately!
spam,Celebrity-endorsed diet supplement! Lose weight without diet or exercise!
ham,Your pull request has been approved and merged into the main branch successfully.
spam,"Buy 1 get 5 free! The best online pharmacy. No prescription, discreet shipping."
spam,business opportunity! earn passive income with our automated trading system.
ham,Thank you for attending the workshop. Your feedback helps us improve future events.
spam,Congratulations winner! You have won an all-expenses-paid vacation to Bahamas!
spam,VIP invitation! You have exclusive access to our secret trading signals.
spam,online casino bonus! get $1000 free credits today. no deposit required!
ham,We are pleased to inform you that your application has been shortlisted for an interview.
spam,"you have been pre-approved for a $50,000 loan. no credit check required!"
spam,FINAL NOTICE: Your subscription has expired. Renew now to avoid account deletion.
spam,URGENT: Your bank account has been compromised. Verify your details immediately.
ham,Thanks for your email. I will get back to you by end of day with the requested information. Best regards.
ham,"The new office address is 123 Main Street, Suite 400. Parking is available on-site. Best regards."
spam,Earn cash by taking surveys! Make $500/day from your couch. Sign up free!
ham,The annual company picnic is scheduled for next Saturday. Please RSVP by Wednesday.
ham,The monthly newsletter is now available. Check out the highlights from this month. Best regards.
ham,Your pull request has been approved and merged into the main branch successfully. Best regards.
spam,"Congratulations! You've won a $1,000,000 lottery prize. Click here to claim now!"
ham,Just a reminder that the library book you borrowed is due back next Tuesday.
spam,click here to enlarge and satisfy your partner. guaranteed results in 3 days!
ham,The quarterly budget meeting is on Thursday. Please bring your department reports.
spam,act now! this investment opportunity will make you a millionaire overnight.
spam,VIP invitation! You have exclusive access to our secret trading signals.
spam,your email was selected for a special reward. claim your $500 gift card now!
spam,"Congratulations! You've won a $1,000,000 lottery prize. Click here to claim now!"
ham,"The new office address is 123 Main Street, Suite 400. Parking is available on-site."
spam,FINAL NOTICE: Your subscription has expired. Renew now to avoid account deletion.
ham,We are pleased to inform you that your application has been shortlisted for an interview.
ham,Please find attached the report for Q3. Let me know if you need any clarifications.
spam,Your email was selected for a special reward. Claim your $500 gift card now!
ham,Your order #45678 has been shipped and will arrive within 3-5 business days.
ham,Just a reminder that the library book you borrowed is due back next Tuesday. Best regards.
spam,Congratulations winner! You have won an all-expenses-paid vacation to Bahamas!
spam,Stop being broke! Join our MLM network and achieve financial freedom today.
spam,vip invitation! you have exclusive access to our secret trading signals.
spam,LAST CHANCE: Complete this survey and win a MacBook Pro. Only 3 spots left!
ham,Attached is the invoice for the services rendered in November. Payment due in 30 days. Best regards.
ham,Attached is the invoice for the services rendered in November. Payment due in 30 days.
spam,Click here to enlarge and satisfy your partner. Guaranteed results in 3 days!
spam,Act now! This investment opportunity will make you a millionaire overnight.
spam,millions waiting for you! just pay a small processing fee to receive your funds.
spam,Earn cash by taking surveys! Make $500/day from your couch. Sign up free!
spam,limited time offer: buy viagra online at 80% discount. no prescription needed!
spam,Special discount for you only! 90% off luxury watches. Limited stock available.
spam,"Get a university degree in 2 weeks! Accredited diplomas, no study required."
spam,"claim your free gift! you were randomly selected. hurry, offer ends tonight!"
spam,"Dear friend, I am a Nigerian prince and I need your help to transfer $10 million."
ham,"Hi John, just wanted to check if you are available for the team meeting tomorrow at 10 AM."
spam,FREE adult content! Join now and get unlimited access to exclusive material.
spam,Get rich quick scheme revealed! Make thousands daily from home. 100% guaranteed.
ham,Congratulations on your promotion! You truly deserve it after all your hard work.
ham,Reminder: Your dentist appointment is scheduled for Wednesday at 3:30 PM. Best regards.
ham,The project deadline has been moved to Friday. Please update your schedules accordingly.
spam,your account will be closed unless you update your information immediately!
ham,The book club meets every second Thursday. This month we are reading The Alchemist. Best regards.
spam,"dear friend, i am a nigerian prince and i need your help to transfer $10 million."
ham,"I will be out of office from December 20 to January 3. For urgent matters, contact Lisa."
spam,miracle weight loss discovered. celebrities use this secret. order now!
ham,Could you please review the attached document and provide your feedback by Thursday?
spam,you've been chosen to test our new product for free. just pay shipping costs.
ham,Reminder: Your dentist appointment is scheduled for Wednesday at 3:30 PM.
spam,stop being broke! join our mlm network and achieve financial freedom today.
ham,The software update is ready for testing. Please check it in the staging environment. Best regards.
ham,Can we reschedule our call to Thursday? I have a conflict on Wednesday afternoon. Best regards.
spam,"Cheap medication online! Buy Xanax, Valium, Oxycodone without prescription."
ham,Thank you for attending the workshop. Your feedback helps us improve future events.
spam,WARNING: Your computer has a virus. Call 1-800-XXX-XXXX immediately to fix it.
spam,"buy 1 get 5 free! the best online pharmacy. no prescription, discreet shipping."
spam,Make money fast! Work from home and earn $5000 per week. No experience needed!
ham,I have attached my resume for the software developer position you posted last week. Best regards.
spam,Act now! This investment opportunity will make you a millionaire overnight.
ham,The annual company picnic is scheduled for next Saturday. Please RSVP by Wednesday. Best regards.
spam,You are the lucky winner! Send us your credit card details to receive your prize.
ham,Just checking in to see how the project is progressing. Let me know if you need help. Best regards.
spam,Celebrity-endorsed diet supplement! Lose weight without diet or exercise!
ham,Can we reschedule our call to Thursday? I have a conflict on Wednesday afternoon.
ham,Great job on the presentation yesterday! The client was very impressed with your work. Best regards.
ham,"Hi John, just wanted to check if you are available for the team meeting tomorrow at 10 AM."
spam,"Double your Bitcoin investment in 24 hours! Guaranteed returns, no risk involved."
ham,"I have reviewed your code and left some comments. Overall, great work on the algorithm! Best regards."
spam,ALERT: Suspicious login detected. Verify your Gmail account or lose access forever.
ham,"Please welcome our new team member, Sarah, who joins us as a data analyst from Monday."
ham,Just a reminder that the library book you borrowed is due back next Tuesday.
spam,LIMITED TIME OFFER: Buy Viagra online at 80% discount. No prescription needed!
ham,"The new office address is 123 Main Street, Suite 400. Parking is available on-site."
ham,The wireless password for the guest network is GuestAccess2024. Valid until month end.
ham,Your order #45678 has been shipped and will arrive within 3-5 business days.
spam,urgent: your bank account has been compromised. verify your details immediately.
ham,I am running 10 minutes late for our meeting. Please start without me if needed.
spam,Online casino bonus! Get $1000 free credits today. No deposit required!
spam,Make money fast! Work from home and earn $5000 per week. No experience needed!
ham,I wanted to share this interesting article I read about machine learning advancements.
ham,Congratulations on your promotion! You truly deserve it after all your hard work. Best regards.
spam,"Dear friend, I am a Nigerian prince and I need your help to transfer $10 million."
spam,Click here to enlarge and satisfy your partner. Guaranteed results in 3 days!
spam,You owe back taxes. Call the IRS immediately or face arrest. This is urgent.
spam,"Buy 1 get 5 free! The best online pharmacy. No prescription, discreet shipping."
ham,Following up on our conversation from last week regarding the project proposal.
spam,WARNING: Your computer has a virus. Call 1-800-XXX-XXXX immediately to fix it.
ham,"I have reviewed your code and left some comments. Overall, great work on the algorithm!"
spam,free adult content! join now and get unlimited access to exclusive material.
spam,Your PayPal account has been suspended. Verify your identity to restore access.
ham,I am running 10 minutes late for our meeting. Please start without me if needed.
spam,congratulations winner! you have won an all-expenses-paid vacation to bahamas!
spam,LIMITED TIME OFFER: Buy Viagra online at 80% discount. No prescription needed!
ham,The training session on data privacy compliance is mandatory for all staff this month. Best regards.
spam,lose 30 pounds in 30 days with this miracle pill! doctors hate this secret.
spam,LAST CHANCE: Complete this survey and win a MacBook Pro. Only 3 spots left!
spam,Millions waiting for you! Just pay a small processing fee to receive your funds.
ham,Lunch plans today? A few of us are going to the Italian place around the corner. Best regards.
spam,Your PayPal account has been suspended. Verify your identity to restore access.
ham,I am running 10 minutes late for our meeting. Please start without me if needed. Best regards.
spam,Millions waiting for you! Just pay a small processing fee to receive your funds.
ham,The IT helpdesk ticket you submitted has been resolved. Let us know if issue persists.
spam,"cheap medication online! buy xanax, valium, oxycodone without prescription."
spam,"double your bitcoin investment in 24 hours! guaranteed returns, no risk involved."
ham,Thank you for attending the workshop. Your feedback helps us improve future events. Best regards.
spam,alert: suspicious login detected. verify your gmail account or lose access forever.
ham,Thanks for your email. I will get back to you by end of day with the requested information.
ham,Reminder: Your dentist appointment is scheduled for Wednesday at 3:30 PM.
ham,The training session on data privacy compliance is mandatory for all staff this month.
spam,Hot singles in your area want to meet you tonight. Click here to see photos.
spam,You've been chosen to test our new product for free. Just pay shipping costs.
ham,Congratulations on your promotion! You truly deserve it after all your hard work.
ham,The book club meets every second Thursday. This month we are reading The Alchemist.
spam,Miracle weight loss discovered. Celebrities use this secret. Order now!
spam,special discount for you only! 90% off luxury watches. limited stock available.
spam,get rich quick scheme revealed! make thousands daily from home. 100% guaranteed.
spam,Your email was selected for a special reward. Claim your $500 gift card now!
spam,FREE adult content! Join now and get unlimited access to exclusive material.
spam,FREE iPhone giveaway! You have been selected. Act now before offer expires!
spam,FREE iPhone giveaway! You have been selected. Act now before offer expires!
spam,"Get a university degree in 2 weeks! Accredited diplomas, no study required."
ham,Please find attached the report for Q3. Let me know if you need any clarifications. Best regards.
ham,We have updated our privacy policy. Please review the changes at your convenience. Best regards.
ham,I wanted to share this interesting article I read about machine learning advancements. Best regards.
spam,ALERT: Suspicious login detected. Verify your Gmail account or lose access forever.
spam,"Double your Bitcoin investment in 24 hours! Guaranteed returns, no risk involved."
ham,"Please welcome our new team member, Sarah, who joins us as a data analyst from Monday. Best regards."
ham,Could you please review the attached document and provide your feedback by Thursday?
spam,"You have been pre-approved for a $50,000 loan. No credit check required!"
ham,Great job on the presentation yesterday! The client was very impressed with your work.
spam,You are the lucky winner! Send us your credit card details to receive your prize.
ham,The conference room has been booked for Monday from 2 PM to 4 PM for your presentation.
ham,We have updated our privacy policy. Please review the changes at your convenience.
spam,Get rich quick scheme revealed! Make thousands daily from home. 100% guaranteed.
ham,The monthly newsletter is now available. Check out the highlights from this month.
ham,I have attached my resume for the software developer position you posted last week.
ham,Lunch plans today? A few of us are going to the Italian place around the corner.
ham,The annual company picnic is scheduled for next Saturday. Please RSVP by Wednesday.
spam,Lose 30 pounds in 30 days with this miracle pill! Doctors hate this secret.
ham,Great job on the presentation yesterday! The client was very impressed with your work.
spam,make money fast! work from home and earn $5000 per week. no experience needed!
spam,You've been chosen to test our new product for free. Just pay shipping costs.
spam,"congratulations! you've won a $1,000,000 lottery prize. click here to claim now!"
ham,Please find attached the report for Q3. Let me know if you need any clarifications.
spam,hot singles in your area want to meet you tonight. click here to see photos.
spam,"make $10,000 per month promoting our products. no skills required. start today!"
spam,Miracle weight loss discovered. Celebrities use this secret. Order now!
spam,"CLAIM YOUR FREE GIFT! You were randomly selected. Hurry, offer ends tonight!"
ham,Following up on our conversation from last week regarding the project proposal. Best regards.
spam,"get a university degree in 2 weeks! accredited diplomas, no study required."
ham,Your order #45678 has been shipped and will arrive within 3-5 business days. Best regards.
ham,Happy birthday! Hope you have a wonderful day filled with joy and happiness. Best regards.
ham,The software update is ready for testing. Please check it in the staging environment.
ham,The wireless password for the guest network is GuestAccess2024. Valid until month end.
ham,Could you help me understand the new deployment process? I am a bit confused about step 3. Best regards.
ham,We are pleased to inform you that your application has been shortlisted for an interview. Best regards.
spam,celebrity-endorsed diet supplement! lose weight without diet or exercise!
ham,The quarterly budget meeting is on Thursday. Please bring your department reports.
ham,"Hi John, just wanted to check if you are available for the team meeting tomorrow at 10 AM. Best regards."
ham,The project deadline has been moved to Friday. Please update your schedules accordingly.
spam,Business opportunity! Earn passive income with our automated trading system.
spam,earn cash by taking surveys! make $500/day from your couch. sign up free!
ham,The Python tutorial you requested has been uploaded to the shared drive. Check it out.
ham,Could you help me understand the new deployment process? I am a bit confused about step 3.
